,X,Y,Z,RSSI
0,284.0,319.0,333.0,-114.0
1,450.0,326.0,379.0,-126.0
2,262.0,460.0,292.0,-119.0
3,427.0,445.0,416.0,-132.0
4,494.0,367.0,424.0,-132.0
5,203.0,468.0,401.0,-123.0
6,339.0,203.0,42.0,-101.0
7,187.0,303.0,314.0,-108.0
8,317.0,53.0,19.0,-94.0
9,164.0,408.0,75.0,-105.0
10,401.0,323.0,226.0,-116.0
11,475.0,117.0,347.0,-119.0
12,112.0,121.0,379.0,-102.0
13,86.0,109.0,206.0,-87.0
14,137.0,115.0,49.0,-82.0
15,212.0,26.0,153.0,-89.0
16,363.0,73.0,368.0,-112.0
17,170.0,246.0,112.0,-94.0
18,57.0,211.0,378.0,-104.0
19,85.0,473.0,31.0,-108.0
20,256.0,127.0,43.0,-91.0
21,387.0,25.0,57.0,-100.0
22,333.0,1.0,125.0,-97.0
23,126.0,111.0,412.0,-105.0
24,460.0,93.0,283.0,-114.0
25,71.0,140.0,362.0,-101.0
26,181.0,195.0,326.0,-103.0
27,190.0,341.0,150.0,-103.0
28,411.0,400.0,78.0,-117.0
29,336.0,230.0,156.0,-104.0
30,204.0,92.0,466.0,-112.0
31,33.0,383.0,495.0,-121.0
32,476.0,409.0,241.0,-126.0
33,431.0,406.0,103.0,-119.0
34,143.0,313.0,475.0,-118.0
35,8.0,320.0,401.0,-111.0
36,170.0,200.0,50.0,-89.0
37,299.0,495.0,449.0,-131.0
38,235.0,32.0,496.0,-114.0
39,247.0,271.0,177.0,-102.0
40,362.0,42.0,104.0,-99.0
41,62.0,289.0,467.0,-115.0
42,487.0,17.0,486.0,-127.0
43,460.0,240.0,381.0,-123.0
44,263.0,134.0,360.0,-107.0
45,210.0,386.0,5.0,-105.0
46,481.0,373.0,315.0,-127.0
47,462.0,143.0,274.0,-115.0
48,19.0,37.0,45.0,-71.0
49,475.0,176.0,184.0,-114.0
50,322.0,196.0,326.0,-110.0
51,227.0,156.0,406.0,-109.0
52,48.0,424.0,100.0,-104.0
53,180.0,65.0,126.0,-86.0
54,131.0,445.0,193.0,-110.0
55,142.0,186.0,272.0,-97.0
56,202.0,244.0,370.0,-109.0
57,261.0,163.0,425.0,-112.0
58,79.0,269.0,409.0,-110.0
59,56.0,241.0,499.0,-115.0
60,435.0,454.0,162.0,-123.0
61,133.0,352.0,372.0,-113.0
62,19.0,101.0,349.0,-98.0
63,151.0,230.0,90.0,-91.0
64,279.0,253.0,192.0,-103.0
65,80.0,73.0,147.0,-81.0
66,117.0,167.0,40.0,-84.0
67,223.0,145.0,229.0,-97.0
68,54.0,475.0,392.0,-121.0
69,131.0,303.0,182.0,-99.0
70,64.0,401.0,52.0,-102.0
71,350.0,151.0,250.0,-106.0
72,153.0,116.0,59.0,-83.0
73,386.0,217.0,82.0,-106.0
74,60.0,263.0,57.0,-90.0
75,67.0,464.0,139.0,-109.0
76,196.0,297.0,8.0,-97.0
77,217.0,73.0,400.0,-106.0
78,249.0,52.0,73.0,-89.0
79,458.0,87.0,48.0,-107.0
80,428.0,229.0,424.0,-123.0
81,443.0,475.0,316.0,-130.0
82,249.0,60.0,396.0,-107.0
83,395.0,182.0,279.0,-112.0
84,162.0,372.0,481.0,-122.0
85,254.0,147.0,60.0,-92.0
86,267.0,162.0,175.0,-97.0
87,451.0,179.0,218.0,-113.0
88,167.0,66.0,389.0,-104.0
89,235.0,333.0,291.0,-110.0
90,149.0,217.0,70.0,-90.0
91,118.0,436.0,74.0,-106.0
92,277.0,154.0,58.0,-94.0
93,396.0,168.0,218.0,-108.0
94,131.0,138.0,102.0,-84.0
95,73.0,169.0,271.0,-94.0
96,301.0,491.0,11.0,-117.0
97,6.0,359.0,410.0,-114.0
98,290.0,1.0,245.0,-99.0
99,429.0,368.0,193.0,-119.0
100,153.0,342.0,25.0,-99.0
101,7.0,209.0,381.0,-104.0
102,213.0,199.0,279.0,-101.0
103,411.0,284.0,217.0,-114.0
104,247.0,255.0,163.0,-100.0
105,123.0,378.0,243.0,-107.0
106,349.0,16.0,57.0,-97.0
107,126.0,341.0,456.0,-117.0
108,184.0,388.0,235.0,-109.0
109,371.0,332.0,305.0,-118.0
110,240.0,127.0,336.0,-104.0
111,346.0,439.0,499.0,-132.0
112,76.0,427.0,428.0,-120.0
113,37.0,172.0,294.0,-96.0
114,496.0,229.0,223.0,-118.0
115,200.0,96.0,39.0,-85.0
116,226.0,54.0,206.0,-93.0
117,28.0,194.0,319.0,-99.0
118,46.0,178.0,237.0,-92.0
119,482.0,316.0,184.0,-119.0
120,213.0,129.0,320.0,-101.0
121,190.0,247.0,212.0,-99.0
122,40.0,381.0,198.0,-104.0
123,359.0,50.0,148.0,-100.0
124,499.0,131.0,351.0,-121.0
125,49.0,498.0,271.0,-116.0
126,188.0,267.0,482.0,-117.0
127,312.0,447.0,124.0,-115.0
128,178.0,193.0,115.0,-91.0
129,370.0,279.0,172.0,-109.0
130,162.0,28.0,257.0,-92.0
131,350.0,52.0,103.0,-98.0
132,371.0,127.0,349.0,-112.0
