,X,Y,Z
0,150.0,200.0,20.0
1,150.0,195.95959595959596,20.0
2,150.0,191.91919191919192,20.0
3,150.0,187.87878787878788,20.0
4,150.0,183.83838383838383,20.0
5,150.0,179.7979797979798,20.0
6,150.0,175.75757575757575,20.0
7,150.0,171.7171717171717,20.0
8,150.0,167.67676767676767,20.0
9,150.0,163.63636363636363,20.0
10,150.0,159.59595959595958,20.0
11,150.0,155.55555555555554,20.0
12,150.0,151.5151515151515,20.0
13,150.0,147.47474747474746,20.0
14,150.0,143.43434343434342,20.0
15,150.0,139.39393939393938,20.0
16,150.0,135.35353535353534,20.0
17,150.0,131.3131313131313,20.0
18,150.0,127.27272727272727,20.0
19,150.0,123.23232323232322,20.0
20,150.0,119.19191919191918,20.0
21,150.0,115.15151515151514,20.0
22,150.0,111.1111111111111,20.0
23,150.0,107.07070707070706,20.0
24,150.0,103.03030303030303,20.0
25,150.0,98.98989898989899,20.0
26,150.0,94.94949494949495,20.0
27,150.0,90.9090909090909,20.0
28,150.0,86.86868686868686,20.0
29,150.0,82.82828282828282,20.0
30,150.0,78.78787878787878,20.0
31,150.0,74.74747474747474,20.0
32,150.0,70.7070707070707,20.0
33,150.0,66.66666666666666,20.0
34,150.0,62.626262626262616,20.0
35,150.0,58.585858585858574,20.0
36,150.0,54.54545454545453,20.0
37,150.0,50.50505050505049,20.0
38,150.0,46.46464646464645,20.0
39,150.0,42.42424242424241,20.0
40,150.0,38.383838383838366,20.0
41,150.0,34.343434343434325,20.0
42,150.0,30.303030303030283,20.0
43,150.0,26.26262626262624,20.0
44,150.0,22.2222222222222,20.0
45,150.0,18.18181818181816,20.0
46,150.0,14.141414141414117,20.0
47,150.0,10.101010101010075,20.0
48,150.0,6.060606060606062,20.0
49,150.0,2.0202020202020208,20.0
50,150.0,-2.0202020202020208,20.0
51,150.0,-6.060606060606062,20.0
52,150.0,-10.101010101010104,20.0
53,150.0,-14.141414141414145,20.0
54,150.0,-18.181818181818187,20.0
55,150.0,-22.22222222222223,20.0
56,150.0,-26.26262626262627,20.0
57,150.0,-30.30303030303031,20.0
58,150.0,-34.34343434343435,20.0
59,150.0,-38.383838383838395,20.0
60,150.0,-42.424242424242436,20.0
61,150.0,-46.46464646464648,20.0
62,150.0,-50.50505050505052,20.0
63,150.0,-54.54545454545456,20.0
64,150.0,-58.5858585858586,20.0
65,150.0,-62.626262626262644,20.0
66,150.0,-66.66666666666669,20.0
67,150.0,-70.70707070707073,20.0
68,150.0,-74.74747474747477,20.0
69,150.0,-78.78787878787881,20.0
70,150.0,-82.82828282828285,20.0
71,150.0,-86.8686868686869,20.0
72,150.0,-90.90909090909093,20.0
73,150.0,-94.94949494949498,20.0
74,150.0,-98.98989898989902,20.0
75,150.0,-103.03030303030306,20.0
76,150.0,-107.0707070707071,20.0
77,150.0,-111.11111111111114,20.0
78,150.0,-115.15151515151518,20.0
79,150.0,-119.19191919191923,20.0
80,150.0,-123.23232323232327,20.0
81,150.0,-127.27272727272731,20.0
82,150.0,-131.31313131313135,20.0
83,150.0,-135.3535353535354,20.0
84,150.0,-139.39393939393943,20.0
85,150.0,-143.43434343434348,20.0
86,150.0,-147.47474747474752,20.0
87,150.0,-151.51515151515156,20.0
88,150.0,-155.5555555555556,20.0
89,150.0,-159.59595959595964,20.0
90,150.0,-163.63636363636368,20.0
91,150.0,-167.67676767676772,20.0
92,150.0,-171.71717171717177,20.0
93,150.0,-175.7575757575758,20.0
94,150.0,-179.79797979797985,20.0
95,150.0,-183.8383838383839,20.0
96,150.0,-187.87878787878788,20.0
97,150.0,-191.91919191919192,20.0
98,150.0,-195.95959595959596,20.0
99,150.0,-200.0,20.0
