,Station 1,Station 2,Station 3
0,70.0,75.0,72.0
1,70.0,75.0,71.0
2,70.0,74.0,71.0
3,70.0,74.0,71.0
4,70.0,74.0,71.0
5,69.0,74.0,71.0
6,69.0,74.0,71.0
7,69.0,74.0,71.0
8,69.0,74.0,71.0
9,69.0,74.0,70.0
10,69.0,74.0,70.0
11,69.0,74.0,70.0
12,69.0,74.0,70.0
13,68.0,74.0,70.0
14,68.0,73.0,70.0
15,68.0,73.0,70.0
16,68.0,73.0,69.0
17,68.0,73.0,69.0
18,68.0,73.0,69.0
19,68.0,73.0,69.0
20,68.0,73.0,69.0
21,68.0,73.0,69.0
22,67.0,73.0,69.0
23,67.0,73.0,68.0
24,67.0,73.0,68.0
25,67.0,72.0,68.0
26,67.0,72.0,68.0
27,67.0,72.0,68.0
28,67.0,72.0,68.0
29,67.0,72.0,67.0
30,67.0,72.0,67.0
31,67.0,72.0,67.0
32,66.0,72.0,67.0
33,66.0,72.0,67.0
34,66.0,72.0,66.0
35,66.0,72.0,66.0
36,66.0,71.0,66.0
37,66.0,71.0,66.0
38,66.0,71.0,65.0
39,66.0,71.0,65.0
40,66.0,71.0,65.0
41,66.0,71.0,65.0
42,66.0,71.0,65.0
43,66.0,71.0,64.0
44,66.0,71.0,64.0
45,66.0,70.0,64.0
46,66.0,70.0,63.0
47,66.0,70.0,63.0
48,66.0,70.0,63.0
49,66.0,70.0,63.0
50,66.0,70.0,62.0
51,66.0,70.0,62.0
52,66.0,70.0,62.0
53,66.0,70.0,61.0
54,66.0,69.0,61.0
55,66.0,69.0,60.0
56,66.0,69.0,60.0
57,66.0,69.0,60.0
58,66.0,69.0,59.0
59,66.0,69.0,59.0
60,66.0,69.0,58.0
61,66.0,69.0,58.0
62,66.0,69.0,57.0
63,66.0,68.0,57.0
64,66.0,68.0,56.0
65,66.0,68.0,56.0
66,66.0,68.0,55.0
67,66.0,68.0,55.0
68,67.0,68.0,54.0
69,67.0,68.0,53.0
70,67.0,68.0,53.0
71,67.0,68.0,52.0
72,67.0,67.0,52.0
73,67.0,67.0,52.0
74,67.0,67.0,52.0
75,67.0,67.0,52.0
76,67.0,67.0,52.0
77,67.0,67.0,52.0
78,68.0,67.0,53.0
79,68.0,67.0,53.0
80,68.0,67.0,54.0
81,68.0,66.0,54.0
82,68.0,66.0,55.0
83,68.0,66.0,55.0
84,68.0,66.0,56.0
85,68.0,66.0,56.0
86,68.0,66.0,57.0
87,69.0,66.0,58.0
88,69.0,66.0,58.0
89,69.0,66.0,59.0
90,69.0,66.0,59.0
91,69.0,66.0,59.0
92,69.0,66.0,60.0
93,69.0,66.0,60.0
94,69.0,66.0,61.0
95,70.0,66.0,61.0
96,70.0,66.0,61.0
97,70.0,66.0,62.0
98,70.0,66.0,62.0
99,70.0,66.0,62.0
